"","X","Unnamed..0","NameCode_x","Last_Name_x","First_Name_x","Season_x","Age","Team","Nat","Pos","Position","GP","G","A","PTS","PM","PIM","ESG","PPG","SHG","Shot","TOI","OPS","DPS","PS","OGVT","DGVT","SGVT","GVT","Sub_ID","TotYears","year_number","NameCode_Season","Season_Start","Season_y","NameCode_y","First_Name_y","Last_Name_y","Salary","Sal_mil","a1","a2","a3","a4","a5","a6","goals_million","assists_million","point_.million","shots_million","plus_minus_million","time_on_ice_million","sal_scaled","pts_scaled"
"11",10,132,"Agozzino Andrew","Agozzino","Andrew","2015-16",25,"COL","CA","LW","LW",9,0,2,2,-1,0,0,0,0,3,77,0,0,0.1,0.1,0,0,0.1,"Sub_ 23",2,2,"Agozzino Andrew_2015-2016",2015,"2015-2016","Agozzino Andrew","Andrew ","Agozzino",61294,0.061294,0,32.62962117,32.62962117,48.94443176,-16.31481059,1256.240415,0,32.62962117,32.62962117,48.94443176,-16.31481059,1256.240415,-1.01782981482457,-1.11906166056489
"12",11,227,"Allen Bryan","Allen","Bryan","2011-12",31,"CAR","CA","D","D",82,1,13,14,-1,76,1,0,0,87,1571,-0.1,3.5,3.4,-0.3,3.7,0,3.4,"Sub_ 42",14,11,"Allen Bryan_2011-2012",2011,"2011-2012","Allen Bryan","Bryan ","Allen",3150000,3.15,0.317460317,4.126984127,4.444444444,27.61904762,-0.317460317,498.7301587,0.317460317,4.126984127,4.444444444,27.61904762,-0.317460317,498.7301587,0.406819974335523,-0.498431364256227
"13",12,228,"Allen Bryan","Allen","Bryan","2012-13",32,"ANA","CA","D","D",41,0,6,6,1,34,0,0,0,25,768,-0.3,1.6,1.3,-0.7,1.7,0,0.9,"Sub_ 42",14,12,"Allen Bryan_2012-2013",2012,"2012-2013","Allen Bryan","Bryan ","Allen",2048780,2.04878,0,2.928572126,2.928572126,12.20238386,0.488095354,374.8572321,0,2.928572126,2.928572126,12.20238386,0.488095354,374.8572321,-0.101112098454468,-0.912184895128669
"14",13,229,"Allen Bryan","Allen","Bryan","2013-14",33,"ANA","CA","D","D",68,0,10,10,20,75,0,0,0,60,1193,-0.4,3.3,2.9,-1,5,0,4,"Sub_ 42",14,13,"Allen Bryan_2013-2014",2013,"2013-2014","Allen Bryan","Bryan ","Allen",3500000,3.5,0,2.857142857,2.857142857,17.14285714,5.714285714,340.8571429,0,2.857142857,2.857142857,17.14285714,5.714285714,340.8571429,0.568255677897479,-0.705308129692448
"15",14,230,"Allen Bryan","Allen","Bryan","2014-15",34,"MTL","CA","D","D",11,0,2,2,-2,6,0,0,0,6,173,0,0.2,0.2,0,0.1,0,0.1,"Sub_ 42",14,14,"Allen Bryan_2014-2015",2014,"2014-2015","Allen Bryan","Bryan ","Allen",2691000,2.691,0,0.743218135,0.743218135,2.229654404,-0.743218135,64.28836864,0,0.743218135,0.743218135,2.229654404,-0.743218135,64.28836864,0.195108580235701,-1.11906166056489
"16",15,285,"Alzner Karl","Alzner","Karl","2011-12",23,"WSH","CA","D","D",82,1,16,17,12,29,1,0,0,56,1712,0,4.4,4.4,0.3,6.5,0,6.7,"Sub_ 55",8,4,"Alzner Karl_2011-2012",2011,"2011-2012","Alzner Karl","Karl ","Alzner",1300000,1.3,0.769230769,12.30769231,13.07692308,43.07692308,9.230769231,1316.923077,0.769230769,12.30769231,13.07692308,43.07692308,9.230769231,1316.923077,-0.446483030206243,-0.343273790179062
"17",16,285,"Alzner Karl","Alzner","Karl","2011-12",23,"WSH","CA","D","D",82,1,16,17,12,29,1,0,0,56,1712,0,4.4,4.4,0.3,6.5,0,6.7,"Sub_ 55",8,4,"Alzner Karl_2011-2012",2011,"2011-2012","Alzner Karl","Karl ","Alzner",875000,0.875,1.142857143,18.28571429,19.42857143,64,13.71428571,1956.571429,1.142857143,18.28571429,19.42857143,64,13.71428571,1956.571429,-0.642512098817189,-0.343273790179062
"18",17,286,"Alzner Karl","Alzner","Karl","2012-13",24,"WSH","CA","D","D",48,1,4,5,-6,14,1,0,0,39,1006,-0.5,1.1,0.5,-1.7,0.3,0,-1.3,"Sub_ 55",8,5,"Alzner Karl_2012-2013",2012,"2012-2013","Alzner Karl","Karl ","Alzner",743415,0.743415,1.345143695,5.38057478,6.725718475,52.4606041,-8.07086217,1353.214557,1.345143695,5.38057478,6.725718475,52.4606041,-8.07086217,1353.214557,-0.703205004683475,-0.963904086487724
"19",18,287,"Alzner Karl","Alzner","Karl","2013-14",25,"WSH","CA","D","D",82,2,16,18,-7,26,2,0,0,95,1684,0.1,2.9,3,0.6,3,0,3.6,"Sub_ 55",8,6,"Alzner Karl_2013-2014",2013,"2013-2014","Alzner Karl","Karl ","Alzner",2800000,2.8,0.714285714,5.714285714,6.428571429,33.92857143,-2.5,601.4285714,0.714285714,5.714285714,6.428571429,33.92857143,-2.5,601.4285714,0.245384270773567,-0.291554598820006
"20",19,288,"Alzner Karl","Alzner","Karl","2014-15",26,"WSH","CA","D","D",82,5,16,21,14,20,5,0,0,72,1593,0.9,4.5,5.4,2.8,4.8,-0.3,7.2,"Sub_ 55",8,7,"Alzner Karl_2014-2015",2014,"2014-2015","Alzner Karl","Karl ","Alzner",2800000,2.8,1.785714286,5.714285714,7.5,25.71428571,5,568.9285714,1.785714286,5.714285714,7.5,25.71428571,5,568.9285714,0.245384270773567,-0.136397024742841
