"","X","Unnamed..0","NameCode_x","Last_Name_x","First_Name_x","Season_x","Age","Team","Nat","Pos","Position","GP","G","A","PTS","PM","PIM","ESG","PPG","SHG","Shot","TOI","OPS","DPS","PS","OGVT","DGVT","SGVT","GVT","Sub_ID","TotYears","year_number","NameCode_Season","Season_Start","Season_y","NameCode_y","First_Name_y","Last_Name_y","Salary","Sal_mil","a1","a2","a3","a4","a5","a6","goals_million","assists_million","point_.million","shots_million","plus_minus_million","time_on_ice_million","sal_scaled","pts_scaled"
"445",444,4775,"Clendening Adam","Clendening","Adam","2015-16",23,"TOT","US","D","D",29,1,6,7,6,20,1,0,0,43,429,0.4,1.5,1.8,0.9,1.6,0,2.5,"Sub_ 832",2,2,"Clendening Adam_2015-2016",2015,"2015-2016","Clendening Adam","Adam ","Clendening",302862,0.302862,3.301833839,19.81100303,23.11283687,141.9788551,19.81100303,1416.486717,3.301833839,19.81100303,23.11283687,141.9788551,19.81100303,1416.486717,-0.906407814715847,-0.860465703769614
"446",445,4780,"Clifford Kyle","Clifford","Kyle","2011-12",21,"LAK","CA","LW","LW",81,5,7,12,-5,123,5,0,0,88,762,-0.3,0.9,0.6,-1.5,1.8,0,0.3,"Sub_ 834",6,2,"Clifford Kyle_2011-2012",2011,"2011-2012","Clifford Kyle","Kyle ","Clifford",765000,0.765,6.535947712,9.150326797,15.68627451,115.0326797,-6.535947712,996.0784314,6.535947712,9.150326797,15.68627451,115.0326797,-6.535947712,996.0784314,-0.693249034222375,-0.601869746974338
"447",446,4781,"Clifford Kyle","Clifford","Kyle","2012-13",22,"LAK","CA","LW","LW",48,7,7,14,1,51,7,0,0,56,509,0.9,0.7,1.6,1.2,1.5,0,2.7,"Sub_ 834",6,3,"Clifford Kyle_2012-2013",2012,"2012-2013","Clifford Kyle","Kyle ","Clifford",398049,0.398049,17.58577462,17.58577462,35.17154923,140.6861969,2.512253517,1278.73704,17.58577462,17.58577462,35.17154923,140.6861969,2.512253517,1278.73704,-0.86250329953027,-0.498431364256227
"448",447,4782,"Clifford Kyle","Clifford","Kyle","2013-14",23,"LAK","CA","LW","LW",71,3,5,8,6,81,3,0,0,74,721,-0.8,1.2,0.4,-2,2.2,0,0.2,"Sub_ 834",6,4,"Clifford Kyle_2013-2014",2013,"2013-2014","Clifford Kyle","Kyle ","Clifford",950000,0.95,3.157894737,5.263157895,8.421052632,77.89473684,6.315789474,758.9473684,3.157894737,5.263157895,8.421052632,77.89473684,6.315789474,758.9473684,-0.607918733768199,-0.808746512410558
"449",448,4783,"Clifford Kyle","Clifford","Kyle","2014-15",24,"LAK","CA","LW","LW",80,6,9,15,5,87,6,0,0,117,859,0,1.2,1.2,-1,2.7,0,1.7,"Sub_ 834",6,5,"Clifford Kyle_2014-2015",2014,"2014-2015","Clifford Kyle","Kyle ","Clifford",1200000,1.2,5,7.5,12.5,97.5,4.166666667,715.8333333,5,7.5,12.5,97.5,4.166666667,715.8333333,-0.49260751693823,-0.446712172897172
"450",449,4784,"Clifford Kyle","Clifford","Kyle","2015-16",25,"LAK","CA","LW","LW",56,3,6,9,-1,55,3,0,0,68,524,-0.1,0.5,0.4,-0.7,0.8,0,0.1,"Sub_ 834",6,6,"Clifford Kyle_2015-2016",2015,"2015-2016","Clifford Kyle","Kyle ","Clifford",1350000,1.35,2.222222222,4.444444444,6.666666667,50.37037037,-0.740740741,388.1481481,2.222222222,4.444444444,6.666666667,50.37037037,-0.740740741,388.1481481,-0.423420786840249,-0.757027321051503
"451",450,4789,"Clitsome Grant","Clitsome","Grant","2011-12",26,"TOT","CA","D","D",63,4,13,17,-9,32,3,1,0,87,1071,1.1,1.5,2.6,2.4,1,0,3.4,"Sub_ 836",6,3,"Clitsome Grant_2011-2012",2011,"2011-2012","Clitsome Grant","Grant ","Clitsome",1100000,1.1,3.636363636,11.81818182,15.45454545,79.09090909,-8.181818182,973.6363636,3.636363636,11.81818182,15.45454545,79.09090909,-8.181818182,973.6363636,-0.538732003670218,-0.343273790179062
"452",451,4790,"Clitsome Grant","Clitsome","Grant","2012-13",27,"WPG","CA","D","D",44,4,12,16,10,18,2,2,0,56,829,1.3,2.3,3.6,2.7,3.6,0,6.2,"Sub_ 836",6,4,"Clitsome Grant_2012-2013",2012,"2012-2013","Clitsome Grant","Grant ","Clitsome",819512,0.819512,4.880953543,14.64286063,19.52381417,68.3333496,12.20238386,1011.577622,4.880953543,14.64286063,19.52381417,68.3333496,12.20238386,1011.577622,-0.668105654015034,-0.394992981538117
"453",452,4791,"Clitsome Grant","Clitsome","Grant","2013-14",28,"WPG","CA","D","D",32,2,10,12,-5,18,2,0,0,42,633,0.8,0.8,1.6,1.5,0.6,0,2.1,"Sub_ 836",6,5,"Clitsome Grant_2013-2014",2013,"2013-2014","Clitsome Grant","Grant ","Clitsome",1600000,1.6,1.25,6.25,7.5,26.25,-3.125,395.625,1.25,6.25,7.5,26.25,-3.125,395.625,-0.308109570010281,-0.601869746974338
"454",453,4792,"Clitsome Grant","Clitsome","Grant","2014-15",29,"WPG","CA","D","D",24,0,4,4,4,8,0,0,0,22,393,0,1.1,1.1,0.2,1,0,1.2,"Sub_ 836",6,6,"Clitsome Grant_2014-2015",2014,"2014-2015","Clitsome Grant","Grant ","Clitsome",2300000,2.3,0,1.739130435,1.739130435,9.565217391,1.739130435,170.8695652,0,1.739130435,1.739130435,9.565217391,1.739130435,170.8695652,0.0147618371136305,-1.01562327784678
"455",454,4811,"Clowe Ryane","Clowe","Ryane","2011-12",29,"SJS","CA","LW","LW",76,17,28,45,-5,97,13,4,0,180,1358,3,1.3,4.3,4.2,2.7,1.1,8,"Sub_ 841",10,7,"Clowe Ryane_2011-2012",2011,"2011-2012","Clowe Ryane","Ryane ","Clowe",3500000,3.5,4.857142857,8,12.85714286,51.42857143,-1.428571429,388,4.857142857,8,12.85714286,51.42857143,-1.428571429,388,0.568255677897479,1.10486356787448
"456",455,4812,"Clowe Ryane","Clowe","Ryane","2012-13",30,"TOT","CA","LW","LW",40,3,16,19,1,93,2,1,0,87,665,0.6,0.9,1.6,0.5,1.3,-0.9,0.9,"Sub_ 841",10,8,"Clowe Ryane_2012-2013",2012,"2012-2013","Clowe Ryane","Ryane ","Clowe",2341463,2.341463,1.281250227,6.833334543,8.11458477,37.15625658,0.427083409,284.010467,1.281250227,6.833334543,8.11458477,37.15625658,0.427083409,284.010467,0.0338864330473146,-0.239835407460951
"457",456,4813,"Clowe Ryane","Clowe","Ryane","2013-14",31,"NJD","CA","LW","LW",43,7,19,26,-10,33,4,3,0,74,694,1.7,0.5,2.3,1.8,1.1,-1.4,1.5,"Sub_ 841",10,9,"Clowe Ryane_2013-2014",2013,"2013-2014","Clowe Ryane","Ryane ","Clowe",4850000,4.85,1.443298969,3.917525773,5.360824742,15.25773196,-2.06185567,143.0927835,1.443298969,3.917525773,5.360824742,15.25773196,-2.06185567,143.0927835,1.19093624877931,0.122198932052435
"458",457,4814,"Clowe Ryane","Clowe","Ryane","2014-15",32,"NJD","CA","LW","LW",13,1,3,4,-1,4,1,0,0,15,204,0,0.2,0.2,-0.7,0.3,0,-0.4,"Sub_ 841",10,10,"Clowe Ryane_2014-2015",2014,"2014-2015","Clowe Ryane","Ryane ","Clowe",4850000,4.85,0.206185567,0.618556701,0.824742268,3.092783505,-0.206185567,42.06185567,0.206185567,0.618556701,0.824742268,3.092783505,-0.206185567,42.06185567,1.19093624877931,-1.01562327784678
"459",458,4824,"Clutterbuck Cal","Clutterbuck","Cal","2011-12",24,"MIN","CA","RW","RW",74,15,12,27,-4,103,8,3,4,161,1210,1.3,1.5,2.8,0.8,2.8,0,3.6,"Sub_ 843",9,5,"Clutterbuck Cal_2011-2012",2011,"2011-2012","Clutterbuck Cal","Cal ","Clutterbuck",1500000,1.5,10,8,18,107.3333333,-2.666666667,806.6666667,10,8,18,107.3333333,-2.666666667,806.6666667,-0.354234056742268,0.17391812341149
"460",459,4825,"Clutterbuck Cal","Clutterbuck","Cal","2012-13",25,"MIN","CA","RW","RW",42,4,6,10,-5,27,4,0,0,87,577,-0.1,0.5,0.4,0.3,1.4,0,1.7,"Sub_ 843",9,6,"Clutterbuck Cal_2012-2013",2012,"2012-2013","Clutterbuck Cal","Cal ","Clutterbuck",995122,0.995122,4.019607646,6.029411469,10.04901912,87.4264663,-5.024509558,579.8284029,4.019607646,6.029411469,10.04901912,87.4264663,-5.024509558,579.8284029,-0.587106442864991,-0.705308129692448
"461",460,4826,"Clutterbuck Cal","Clutterbuck","Cal","2013-14",26,"NYI","CA","RW","RW",73,12,7,19,-9,40,9,0,3,172,1046,0.5,0.7,1.3,1.1,1.9,-0.3,2.7,"Sub_ 843",9,7,"Clutterbuck Cal_2013-2014",2013,"2013-2014","Clutterbuck Cal","Cal ","Clutterbuck",2000000,2,6,3.5,9.5,86,-4.5,523,6,3.5,9.5,86,-4.5,523,-0.123611623082331,-0.239835407460951
"462",461,4827,"Clutterbuck Cal","Clutterbuck","Cal","2014-15",27,"NYI","CA","RW","RW",76,7,9,16,1,60,5,0,2,124,967,-0.1,0.9,0.8,0.7,2.3,0.4,3.3,"Sub_ 843",9,8,"Clutterbuck Cal_2014-2015",2014,"2014-2015","Clutterbuck Cal","Cal ","Clutterbuck",2500000,2.5,2.8,3.6,6.4,49.6,0.4,386.8,2.8,3.6,6.4,49.6,0.4,386.8,0.107010810577605,-0.394992981538117
"463",462,4828,"Clutterbuck Cal","Clutterbuck","Cal","2015-16",28,"NYI","CA","RW","RW",77,15,8,23,7,22,13,0,2,80,918,1.8,1.3,3.1,3.1,3.8,0,6.9,"Sub_ 843",9,9,"Clutterbuck Cal_2015-2016",2015,"2015-2016","Clutterbuck Cal","Cal ","Clutterbuck",3000000,3,5,2.666666667,7.666666667,26.66666667,2.333333333,306,5,2.666666667,7.666666667,26.66666667,2.333333333,306,0.337633244237542,-0.0329586420247305
"464",463,4845,"Coburn Braydon","Coburn","Braydon","2011-12",26,"PHI","CA","D","D",81,4,20,24,10,56,4,0,0,113,1786,1,3.6,4.7,2.8,6.1,0,8.9,"Sub_ 847",11,7,"Coburn Braydon_2011-2012",2011,"2011-2012","Coburn Braydon","Braydon ","Coburn",3400000,3.4,1.176470588,5.882352941,7.058823529,33.23529412,2.941176471,525.2941176,1.176470588,5.882352941,7.058823529,33.23529412,2.941176471,525.2941176,0.522131191165492,0.0187605493343247
"465",464,4846,"Coburn Braydon","Coburn","Braydon","2012-13",27,"PHI","CA","D","D",33,1,4,5,-10,41,1,0,0,38,746,-0.2,0.9,0.7,-0.7,2,0,1.2,"Sub_ 847",11,8,"Coburn Braydon_2012-2013",2012,"2012-2013","Coburn Braydon","Braydon ","Coburn",4000000,4,0.25,1,1.25,9.5,-2.5,186.5,0.25,1,1.25,9.5,-2.5,186.5,0.798878111557416,-0.963904086487724
"466",465,4847,"Coburn Braydon","Coburn","Braydon","2013-14",28,"PHI","CA","D","D",82,5,12,17,-6,63,4,0,1,122,1840,0.2,3.1,3.3,0,5.4,0,5.3,"Sub_ 847",11,9,"Coburn Braydon_2013-2014",2013,"2013-2014","Coburn Braydon","Braydon ","Coburn",5500000,5.5,0.909090909,2.181818182,3.090909091,22.18181818,-1.090909091,334.5454545,0.909090909,2.181818182,3.090909091,22.18181818,-1.090909091,334.5454545,1.49074541253723,-0.343273790179062
"467",466,4848,"Coburn Braydon","Coburn","Braydon","2014-15",29,"TBL","CA","D","D",43,1,10,11,2,25,1,0,0,46,857,0.2,1.9,2.2,0.5,2.8,0,3.2,"Sub_ 847",11,10,"Coburn Braydon_2014-2015",2014,"2014-2015","Coburn Braydon","Braydon ","Coburn",881720,0.88172,1.134146895,11.34146895,12.47561584,52.17075716,2.268293789,971.9638888,1.134146895,11.34146895,12.47561584,52.17075716,2.268293789,971.9638888,-0.6394125333088,-0.653588938333393
"468",467,4849,"Coburn Braydon","Coburn","Braydon","2015-16",30,"TBL","CA","D","D",80,1,9,10,12,53,1,0,0,92,1340,-0.4,4,3.6,-1.3,5.7,0,4.4,"Sub_ 847",11,11,"Coburn Braydon_2015-2016",2015,"2015-2016","Coburn Braydon","Braydon ","Coburn",4000000,4,0.25,2.25,2.5,23,3,335,0.25,2.25,2.5,23,3,335,0.798878111557416,-0.705308129692448
"469",468,4885,"Cogliano Andrew","Cogliano","Andrew","2011-12",24,"ANA","CA","C","C",82,13,13,26,-4,15,11,2,0,115,1206,1,1.3,2.3,-0.1,3.3,0,3.1,"Sub_ 850",9,5,"Cogliano Andrew_2011-2012",2011,"2011-2012","Cogliano Andrew","Andrew ","Cogliano",2150000,2.15,6.046511628,6.046511628,12.09302326,53.48837209,-1.860465116,560.9302326,6.046511628,6.046511628,12.09302326,53.48837209,-1.860465116,560.9302326,-0.0544248929843505,0.122198932052435
"470",469,4886,"Cogliano Andrew","Cogliano","Andrew","2012-13",25,"ANA","CA","C","C",48,13,10,23,14,6,11,0,2,79,738,1.9,1.3,3.3,4.1,3,-0.3,6.9,"Sub_ 850",9,6,"Cogliano Andrew_2012-2013",2012,"2012-2013","Cogliano Andrew","Andrew ","Cogliano",1375610,1.37561,9.450352934,7.269502257,16.71985519,57.42906783,10.17730316,536.4892666,9.450352934,7.269502257,16.71985519,57.42906783,10.17730316,536.4892666,-0.411608305788187,-0.0329586420247305
"471",470,4887,"Cogliano Andrew","Cogliano","Andrew","2013-14",26,"ANA","CA","C","C",82,22,20,42,13,26,19,0,3,158,1262,3.7,1.5,5.2,8.4,3.9,0,12.3,"Sub_ 850",9,7,"Cogliano Andrew_2013-2014",2013,"2013-2014","Cogliano Andrew","Andrew ","Cogliano",2670000,2.67,8.239700375,7.490636704,15.73033708,59.17602996,4.868913858,472.659176,8.239700375,7.490636704,15.73033708,59.17602996,4.868913858,472.659176,0.185422438021984,0.949705993797318
"472",471,4888,"Cogliano Andrew","Cogliano","Andrew","2014-15",27,"ANA","CA","LW/C","LW",82,15,14,29,5,14,12,0,3,134,1197,1.7,1.4,3,3.3,3.1,0,6.4,"Sub_ 850",9,8,"Cogliano Andrew_2014-2015",2014,"2014-2015","Cogliano Andrew","Andrew ","Cogliano",2700000,2.7,5.555555556,5.185185185,10.74074074,49.62962963,1.851851852,443.3333333,5.555555556,5.185185185,10.74074074,49.62962963,1.851851852,443.3333333,0.19925978404158,0.277356506129601
"473",472,4889,"Cogliano Andrew","Cogliano","Andrew","2015-16",28,"ANA","CA","LW","LW",82,9,23,32,2,28,7,0,2,131,1183,1.3,1.7,3,2.1,4.3,0,6.3,"Sub_ 850",9,9,"Cogliano Andrew_2015-2016",2015,"2015-2016","Cogliano Andrew","Andrew ","Cogliano",2900000,2.9,3.103448276,7.931034483,11.03448276,45.17241379,0.689655172,407.9310345,3.103448276,7.931034483,11.03448276,45.17241379,0.689655172,407.9310345,0.291508757505555,0.432514080206766
"474",473,4899,"Colaiacovo Carlo","Colaiacovo","Carlo","2011-12",29,"STL","CA","D","D",64,2,17,19,7,22,2,0,0,68,1216,1,3.7,4.6,1.3,3.4,0,4.7,"Sub_ 852",13,9,"Colaiacovo Carlo_2011-2012",2011,"2011-2012","Colaiacovo Carlo","Carlo ","Colaiacovo",2500000,2.5,0.8,6.8,7.6,27.2,2.8,486.4,0.8,6.8,7.6,27.2,2.8,486.4,0.107010810577605,-0.239835407460951
"475",474,4900,"Colaiacovo Carlo","Colaiacovo","Carlo","2012-13",30,"DET","CA","D","D",6,0,1,1,-4,2,0,0,0,12,113,0,-0.1,-0.1,-0.2,-0.2,0,-0.5,"Sub_ 852",13,10,"Colaiacovo Carlo_2012-2013",2012,"2012-2013","Colaiacovo Carlo","Carlo ","Colaiacovo",1258537,1.258537,0,0.794573382,0.794573382,9.53488058,-3.178293527,89.78679212,0,0.794573382,0.794573382,9.53488058,-3.178293527,89.78679212,-0.465607626139927,-1.17078085192394
"476",475,4901,"Colaiacovo Carlo","Colaiacovo","Carlo","2013-14",31,"STL","CA","D","D",25,1,3,4,-4,18,1,0,0,18,379,0.1,0.5,0.6,0,-0.1,0,-0.1,"Sub_ 852",13,11,"Colaiacovo Carlo_2013-2014",2013,"2013-2014","Colaiacovo Carlo","Carlo ","Colaiacovo",550000,0.55,1.818181818,5.454545455,7.272727273,32.72727273,-7.272727273,689.0909091,1.818181818,5.454545455,7.272727273,32.72727273,-7.272727273,689.0909091,-0.792416680696148,-1.01562327784678
"477",476,4902,"Colaiacovo Carlo","Colaiacovo","Carlo","2014-15",32,"PHI","CA","D","D",33,2,6,8,0,10,2,0,0,42,544,0.4,1.1,1.5,1.3,0.8,0,2.1,"Sub_ 852",13,12,"Colaiacovo Carlo_2014-2015",2014,"2014-2015","Colaiacovo Carlo","Carlo ","Colaiacovo",544355,0.544355,3.674072985,11.02221896,14.69629194,77.15553269,0,999.347852,3.674072985,11.02221896,14.69629194,77.15553269,0,999.347852,-0.795020407972169,-0.808746512410558
"478",477,4903,"Colaiacovo Carlo","Colaiacovo","Carlo","2015-16",33,"BUF","CA","D","D",36,1,4,5,-11,10,1,0,0,29,521,0,0.4,0.4,-0.5,0,0,-0.5,"Sub_ 852",13,13,"Colaiacovo Carlo_2015-2016",2015,"2015-2016","Colaiacovo Carlo","Carlo ","Colaiacovo",900000,0.9,1.111111111,4.444444444,5.555555556,32.22222222,-12.22222222,578.8888889,1.111111111,4.444444444,5.555555556,32.22222222,-12.22222222,578.8888889,-0.630980977134193,-0.963904086487724
"479",478,4907,"Colborne Joe","Colborne","Joe","2013-14",24,"CGY","CA","C","C",80,10,18,28,-17,34,9,1,0,80,1141,1,0.7,1.8,0.6,1.5,1,3.2,"Sub_ 853",6,4,"Colborne Joe_2013-2014",2013,"2013-2014","Colborne Joe","Joe ","Colborne",600000,0.6,16.66666667,30,46.66666667,133.3333333,-28.33333333,1901.666667,16.66666667,30,46.66666667,133.3333333,-28.33333333,1901.666667,-0.769354437330155,0.225637314770546
"480",479,4908,"Colborne Joe","Colborne","Joe","2014-15",25,"CGY","CA","C","C",64,8,20,28,7,43,6,1,1,67,987,1.2,1.4,2.6,3.3,2.9,-0.2,6,"Sub_ 853",6,5,"Colborne Joe_2014-2015",2014,"2014-2015","Colborne Joe","Joe ","Colborne",1275000,1.275,6.274509804,15.68627451,21.96078431,52.54901961,5.490196078,774.1176471,6.274509804,15.68627451,21.96078431,52.54901961,5.490196078,774.1176471,-0.45801415188924,0.225637314770546
"481",480,4909,"Colborne Joe","Colborne","Joe","2015-16",26,"CGY","CA","C","C",73,19,25,44,-9,27,16,3,0,100,1107,3.9,0.7,4.6,5.7,2.1,1.2,8.9,"Sub_ 853",6,6,"Colborne Joe_2015-2016",2015,"2015-2016","Colborne Joe","Joe ","Colborne",1275000,1.275,14.90196078,19.60784314,34.50980392,78.43137255,-7.058823529,868.2352941,14.90196078,19.60784314,34.50980392,78.43137255,-7.058823529,868.2352941,-0.45801415188924,1.05314437651543
"482",481,4926,"Cole Erik","Cole","Erik","2011-12",33,"MTL","US","LW","LW",82,35,26,61,11,48,24,11,0,241,1519,6.7,2.3,9,9.9,2.3,-0.8,11.3,"Sub_ 855",13,10,"Cole Erik_2011-2012",2011,"2011-2012","Cole Erik","Erik ","Cole",6000000,6,5.833333333,4.333333333,10.16666667,40.16666667,1.833333333,253.1666667,5.833333333,4.333333333,10.16666667,40.16666667,1.833333333,253.1666667,1.72136784619716,1.93237062961937
"483",482,4927,"Cole Erik","Cole","Erik","2012-13",34,"TOT","US","LW","LW",47,9,4,13,-6,20,8,1,0,86,770,0.3,0.5,0.7,-4,1.6,0,-2.4,"Sub_ 855",13,11,"Cole Erik_2012-2013",2012,"2012-2013","Cole Erik","Erik ","Cole",4000000,4,2.25,1,3.25,21.5,-1.5,192.5,2.25,1,3.25,21.5,-1.5,192.5,0.798878111557416,-0.550150555615282
"484",483,4928,"Cole Erik","Cole","Erik","2013-14",35,"DAL","US","LW","LW",75,16,13,29,-17,20,13,3,0,139,1137,1.9,0.4,2.3,1.9,0,-0.3,1.6,"Sub_ 855",13,12,"Cole Erik_2013-2014",2013,"2013-2014","Cole Erik","Erik ","Cole",4000000,4,4,3.25,7.25,34.75,-4.25,284.25,4,3.25,7.25,34.75,-4.25,284.25,0.798878111557416,0.277356506129601
"485",484,4929,"Cole Erik","Cole","Erik","2014-15",36,"DET","US","LW","LW",68,21,18,39,2,14,17,3,1,122,989,4,1,5,7.3,2.1,-0.3,9.1,"Sub_ 855",13,13,"Cole Erik_2014-2015",2014,"2014-2015","Cole Erik","Erik ","Cole",903225,0.903225,23.25002076,19.92858922,43.17860998,135.0715492,2.214287691,1094.965263,23.25002076,19.92858922,43.17860998,135.0715492,2.214287691,1094.965263,-0.629493462437086,0.794548419720153
"486",485,4931,"Cole Ian","Cole","Ian","2011-12",22,"STL","US","D","D",26,1,5,6,7,22,1,0,0,18,414,0.3,1.6,2,0.7,2,0,2.7,"Sub_ 856",6,2,"Cole Ian_2011-2012",2011,"2011-2012","Cole Ian","Ian ","Cole",875000,0.875,1.142857143,5.714285714,6.857142857,20.57142857,8,473.1428571,1.142857143,5.714285714,6.857142857,20.57142857,8,473.1428571,-0.642512098817189,-0.912184895128669
"487",486,4932,"Cole Ian","Cole","Ian","2012-13",23,"STL","US","D","D",15,0,1,1,-4,10,0,0,0,10,266,-0.2,0.4,0.2,-0.7,0.3,0,-0.4,"Sub_ 856",6,3,"Cole Ian_2012-2013",2012,"2012-2013","Cole Ian","Ian ","Cole",599695,0.599695,0,1.66751432,1.66751432,16.6751432,-6.670057279,443.5588091,0,1.66751432,1.66751432,16.6751432,-6.670057279,443.5588091,-0.769495117014687,-1.17078085192394
"488",487,4933,"Cole Ian","Cole","Ian","2013-14",24,"STL","US","D","D",46,3,8,11,15,31,3,0,0,45,694,0.7,2.9,3.5,1.8,3.2,0,5,"Sub_ 856",6,4,"Cole Ian_2013-2014",2013,"2013-2014","Cole Ian","Ian ","Cole",750000,0.75,4,10.66666667,14.66666667,60,20,925.3333333,4,10.66666667,14.66666667,60,20,925.3333333,-0.700167707232173,-0.653588938333393
"489",488,4934,"Cole Ian","Cole","Ian","2014-15",25,"PIT","US","D","D",74,5,12,17,14,51,5,0,0,83,1183,1,3.8,4.7,2.8,3.7,0,6.5,"Sub_ 856",6,5,"Cole Ian_2014-2015",2014,"2014-2015","Cole Ian","Ian ","Cole",198387,0.198387,25.20326433,60.48783438,85.69109871,418.3741878,70.56914012,5963.09234,25.20326433,60.48783438,85.69109871,418.3741878,70.56914012,5963.09234,-0.954596372229091,-0.343273790179062
"490",489,4935,"Cole Ian","Cole","Ian","2015-16",26,"PIT","US","D","D",70,0,12,12,-3,59,0,0,0,72,1207,-0.2,2,1.8,-0.3,1.7,0,1.4,"Sub_ 856",6,6,"Cole Ian_2015-2016",2015,"2015-2016","Cole Ian","Ian ","Cole",1500000,1.5,0,8,8,48,-2,804.6666667,0,8,8,48,-2,804.6666667,-0.354234056742268,-0.601869746974338
"491",490,4969,"Comeau Blake","Comeau","Blake","2011-12",25,"TOT","CA","RW","RW",74,5,10,15,-11,30,5,0,0,137,1143,-1,1,0,-1.6,1.2,-0.3,-0.7,"Sub_ 865",10,6,"Comeau Blake_2011-2012",2011,"2011-2012","Comeau Blake","Blake ","Comeau",2500000,2.5,2,4,6,54.8,-4.4,457.2,2,4,6,54.8,-4.4,457.2,0.107010810577605,-0.446712172897172
"492",491,4970,"Comeau Blake","Comeau","Blake","2012-13",26,"TOT","CA","RW","RW",42,6,6,12,-4,20,5,0,1,48,511,0.6,0.4,1,1,1.3,0,2.3,"Sub_ 865",10,7,"Comeau Blake_2012-2013",2012,"2012-2013","Comeau Blake","Blake ","Comeau",731707,0.731707,8.200003553,8.200003553,16.40000711,65.60002843,-5.466669036,698.3669693,8.200003553,8.200003553,16.40000711,65.60002843,-5.466669036,698.3669693,-0.708605259590056,-0.601869746974338
"493",492,4971,"Comeau Blake","Comeau","Blake","2013-14",27,"CBJ","CA","LW","LW",61,5,11,16,-2,36,5,0,0,107,736,0.3,0.7,1,0.1,1.3,0,1.4,"Sub_ 865",10,8,"Comeau Blake_2013-2014",2013,"2013-2014","Comeau Blake","Blake ","Comeau",1000000,1,5,11,16,107,-2,736,5,11,16,107,-2,736,-0.584856490402205,-0.394992981538117
"494",493,4972,"Comeau Blake","Comeau","Blake","2014-15",28,"PIT","CA","LW","LW",61,16,15,31,6,65,16,0,0,147,932,2.6,1.4,4,5.1,2.6,0,7.6,"Sub_ 865",10,9,"Comeau Blake_2014-2015",2014,"2014-2015","Comeau Blake","Blake ","Comeau",700000,0.7,22.85714286,21.42857143,44.28571429,210,8.571428571,1331.428571,22.85714286,21.42857143,44.28571429,210,8.571428571,1331.428571,-0.723229950598167,0.380794888847711
"495",494,4973,"Comeau Blake","Comeau","Blake","2015-16",29,"COL","CA","LW","LW",81,12,24,36,-9,58,8,2,2,142,1428,1.3,1.3,2.6,2.7,2.1,0.5,5.3,"Sub_ 865",10,10,"Comeau Blake_2015-2016",2015,"2015-2016","Comeau Blake","Blake ","Comeau",2400000,2.4,5,10,15,59.16666667,-3.75,595,5,10,15,59.16666667,-3.75,595,0.0608863238456179,0.639390845642987
"496",495,5027,"Condra Erik","Condra","Erik","2011-12",25,"OTT","US","RW","RW",81,8,17,25,11,30,6,0,2,140,1147,0.5,1.3,1.8,1.9,3.9,-0.3,5.6,"Sub_ 874",6,2,"Condra Erik_2011-2012",2011,"2011-2012","Condra Erik","Erik ","Condra",600000,0.6,13.33333333,28.33333333,41.66666667,233.3333333,18.33333333,1911.666667,13.33333333,28.33333333,41.66666667,233.3333333,18.33333333,1911.666667,-0.769354437330155,0.0704797406933799
"497",496,5028,"Condra Erik","Condra","Erik","2012-13",26,"OTT","US","RW","RW",48,4,8,12,3,34,4,0,0,73,632,0,1,1,-0.1,3.5,0,3.4,"Sub_ 874",6,3,"Condra Erik_2012-2013",2012,"2012-2013","Condra Erik","Erik ","Condra",380488,0.380488,10.51281512,21.02563024,31.53844536,191.858876,7.884611341,1661.024789,10.51281512,21.02563024,31.53844536,191.858876,7.884611341,1661.024789,-0.870603220645275,-0.601869746974338
"498",497,5029,"Condra Erik","Condra","Erik","2013-14",27,"OTT","US","RW","RW",76,6,10,16,0,30,5,0,1,85,885,0,0.8,0.8,0.6,2.1,-0.3,2.4,"Sub_ 874",6,4,"Condra Erik_2013-2014",2013,"2013-2014","Condra Erik","Erik ","Condra",1200000,1.2,5,8.333333333,13.33333333,70.83333333,0,737.5,5,8.333333333,13.33333333,70.83333333,0,737.5,-0.49260751693823,-0.394992981538117
"499",498,5030,"Condra Erik","Condra","Erik","2014-15",28,"OTT","US","RW","RW",68,9,14,23,13,30,8,0,1,106,983,0.9,1.5,2.4,2.8,4,0,6.9,"Sub_ 874",6,5,"Condra Erik_2014-2015",2014,"2014-2015","Condra Erik","Erik ","Condra",1300000,1.3,6.923076923,10.76923077,17.69230769,81.53846154,10,756.1538462,6.923076923,10.76923077,17.69230769,81.53846154,10,756.1538462,-0.446483030206243,-0.0329586420247305
"500",499,5031,"Condra Erik","Condra","Erik","2015-16",29,"TBL","US","RW","RW",54,6,5,11,-4,34,6,0,0,58,578,0.3,0.5,0.8,-0.3,2.2,0,2,"Sub_ 874",6,6,"Condra Erik_2015-2016",2015,"2015-2016","Condra Erik","Erik ","Condra",1000000,1,6,5,11,58,-4,578,6,5,11,58,-4,578,-0.584856490402205,-0.653588938333393
