,Unnamed: 0,NameCode_x,Last_Name_x,First_Name_x,Season_x,Age,Team,Nat,Pos,GP,G,A,PTS,PM,PIM,ESG,PPG,SHG,Shot,TOI,OPS,DPS,PS,OGVT,DGVT,SGVT,GVT,Sub_ID,TotYears,year_number,NameCode_Season,Season_Start,Season_y,NameCode_y,First_Name_y,Last_Name_y,Salary,Sal_mil,a1,a2,a3,a4,a5,a6,goals_million,assists_million,point_/million,shots_million,plus_minus_million,time_on_ice_million
10,132,Agozzino Andrew,Agozzino,Andrew,2015-16,25.0,COL,CA,LW,9,0,2,2,-1,0,0,0,0,3,77,0.0,0.0,0.1,0.1,0.0,0.0,0.1,Sub_ 23,2,2,Agozzino Andrew_2015-2016,2015,2015-2016,Agozzino Andrew,Andrew ,Agozzino,61294,0.061294,0.0,32.62962117009821,32.62962117009821,48.94443175514732,-16.314810585049106,1256.2404150487812,0.0,32.62962117009821,32.62962117009821,48.94443175514732,-16.314810585049106,1256.2404150487812
11,227,Allen Bryan,Allen,Bryan,2011-12,31.0,CAR,CA,D,82,1,13,14,-1,76,1,0,0,87,1571,-0.1,3.5,3.4,-0.3,3.7,0.0,3.4,Sub_ 42,14,11,Allen Bryan_2011-2012,2011,2011-2012,Allen Bryan,Bryan ,Allen,3150000,3.15,0.31746031746031744,4.126984126984127,4.444444444444445,27.61904761904762,-0.31746031746031744,498.73015873015873,0.31746031746031744,4.126984126984127,4.444444444444445,27.61904761904762,-0.31746031746031744,498.73015873015873
12,228,Allen Bryan,Allen,Bryan,2012-13,32.0,ANA,CA,D,41,0,6,6,1,34,0,0,0,25,768,-0.3,1.6,1.3,-0.7,1.7,0.0,0.9,Sub_ 42,14,12,Allen Bryan_2012-2013,2012,2012-2013,Allen Bryan,Bryan ,Allen,2048780,2.04878,0.0,2.9285721258505064,2.9285721258505064,12.202383857710444,0.4880953543084177,374.8572321088648,0.0,2.9285721258505064,2.9285721258505064,12.202383857710444,0.4880953543084177,374.8572321088648
13,229,Allen Bryan,Allen,Bryan,2013-14,33.0,ANA,CA,D,68,0,10,10,20,75,0,0,0,60,1193,-0.4,3.3,2.9,-1.0,5.0,0.0,4.0,Sub_ 42,14,13,Allen Bryan_2013-2014,2013,2013-2014,Allen Bryan,Bryan ,Allen,3500000,3.5,0.0,2.857142857142857,2.857142857142857,17.142857142857142,5.714285714285714,340.85714285714283,0.0,2.857142857142857,2.857142857142857,17.142857142857142,5.714285714285714,340.85714285714283
14,230,Allen Bryan,Allen,Bryan,2014-15,34.0,MTL,CA,D,11,0,2,2,-2,6,0,0,0,6,173,0.0,0.2,0.2,0.0,0.1,0.0,0.1,Sub_ 42,14,14,Allen Bryan_2014-2015,2014,2014-2015,Allen Bryan,Bryan ,Allen,2691000,2.691,0.0,0.7432181345224824,0.7432181345224824,2.229654403567447,-0.7432181345224824,64.28836863619473,0.0,0.7432181345224824,0.7432181345224824,2.229654403567447,-0.7432181345224824,64.28836863619473
15,285,Alzner Karl,Alzner,Karl,2011-12,23.0,WSH,CA,D,82,1,16,17,12,29,1,0,0,56,1712,0.0,4.4,4.4,0.3,6.5,0.0,6.7,Sub_ 55,8,4,Alzner Karl_2011-2012,2011,2011-2012,Alzner Karl,Karl ,Alzner,1300000,1.3,0.7692307692307692,12.307692307692307,13.076923076923077,43.07692307692307,9.23076923076923,1316.923076923077,0.7692307692307692,12.307692307692307,13.076923076923077,43.07692307692307,9.23076923076923,1316.923076923077
16,285,Alzner Karl,Alzner,Karl,2011-12,23.0,WSH,CA,D,82,1,16,17,12,29,1,0,0,56,1712,0.0,4.4,4.4,0.3,6.5,0.0,6.7,Sub_ 55,8,4,Alzner Karl_2011-2012,2011,2011-2012,Alzner Karl,Karl ,Alzner,875000,0.875,1.1428571428571428,18.285714285714285,19.428571428571427,64.0,13.714285714285714,1956.5714285714287,1.1428571428571428,18.285714285714285,19.428571428571427,64.0,13.714285714285714,1956.5714285714287
17,286,Alzner Karl,Alzner,Karl,2012-13,24.0,WSH,CA,D,48,1,4,5,-6,14,1,0,0,39,1006,-0.5,1.1,0.5,-1.7,0.3,0.0,-1.3,Sub_ 55,8,5,Alzner Karl_2012-2013,2012,2012-2013,Alzner Karl,Karl ,Alzner,743415,0.743415,1.3451436949752156,5.380574779900862,6.7257184748760785,52.46060410403341,-8.070862169851294,1353.214557145067,1.3451436949752156,5.380574779900862,6.7257184748760785,52.46060410403341,-8.070862169851294,1353.214557145067
18,287,Alzner Karl,Alzner,Karl,2013-14,25.0,WSH,CA,D,82,2,16,18,-7,26,2,0,0,95,1684,0.1,2.9,3.0,0.6,3.0,0.0,3.6,Sub_ 55,8,6,Alzner Karl_2013-2014,2013,2013-2014,Alzner Karl,Karl ,Alzner,2800000,2.8,0.7142857142857143,5.714285714285714,6.428571428571429,33.92857142857143,-2.5,601.4285714285714,0.7142857142857143,5.714285714285714,6.428571428571429,33.92857142857143,-2.5,601.4285714285714
19,288,Alzner Karl,Alzner,Karl,2014-15,26.0,WSH,CA,D,82,5,16,21,14,20,5,0,0,72,1593,0.9,4.5,5.4,2.8,4.8,-0.3,7.2,Sub_ 55,8,7,Alzner Karl_2014-2015,2014,2014-2015,Alzner Karl,Karl ,Alzner,2800000,2.8,1.7857142857142858,5.714285714285714,7.500000000000001,25.714285714285715,5.0,568.9285714285714,1.7857142857142858,5.714285714285714,7.500000000000001,25.714285714285715,5.0,568.9285714285714
